ID,创建时间,用户名称,权限等级,操作内容,旧值,新值,详情(注释)
259,2025-01-22 10:27:53,超级管理员,--,测量参数-调试参数-酸剂 更改 ,0.200000 ,2.000000 ,--
260,2025-01-22 10:27:53,超级管理员,--,测量参数-调试参数-氧化剂 更改 ,0.200000 ,2.000000 ,--
261,2025-01-22 10:27:53,超级管理员,--,测量参数-调试参数-慢速冲洗时间 更改 ,10 ,80 ,--
262,2025-01-22 10:28:13,超级管理员,--,测量参数-Turbo设置-Turbo模式 更改 ,开,关,--
263,2025-01-22 10:28:13,超级管理员,--,测量参数-调试参数-慢速冲洗时间 更改 ,80 ,1 ,--
264,2025-01-22 10:28:13,超级管理员,--,测量参数-调试参数-酸剂 更改 ,2.000000 ,1.000000 ,--
265,2025-01-22 10:28:13,超级管理员,--,测量参数-调试参数-氧化剂 更改 ,2.000000 ,1.000000 ,--
266,2025-01-22 10:28:13,超级管理员,--,测量参数-调试参数-方法名称 更改 ,79,样品,--
267,2025-01-22 10:30:13,超级管理员,--,测量参数-Turbo设置-Turbo模式 更改 ,关,开,--
268,2025-01-22 10:30:13,超级管理员,--,测量参数-调试参数-ICR模式 更改 ,开,关,--
269,2025-01-22 10:30:13,超级管理员,--,测量参数-调试参数-方法名称 更改 ,样品,样品A,--
270,2025-01-22 10:31:01,超级管理员,--,测量参数-Turbo设置-Turbo模式 更改 ,开,关,--
271,2025-01-22 10:31:01,超级管理员,--,测量参数-调试参数-方法名称 更改 ,样品A,样品B,--
272,2025-01-22 11:01:49,超级管理员,--,测量参数-Turbo设置-Turbo模式 更改 ,关,开,--
273,2025-01-22 11:01:49,超级管理员,--,测量参数-调试参数-方法名称 更改 ,样品B,默认,--
274,2025-01-22 13:49:38,超级管理员,--,测量排期-水样测量-间隔周期 更改 ,5.000000 ,2.000000 ,--
275,2025-01-22 13:49:38,超级管理员,--,测量排期-水样测量-整点设置 更改 ,0,2,4,6,8,10,12,14,16,18,20,22,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,--
276,2025-01-22 13:49:38,超级管理员,--,测量排期-整点启动-判定延长时间 更改 ,88 ,120 ,--
277,2025-01-22 13:49:49,超级管理员,--,测量排期-整点启动-判定延长时间 更改 ,120 ,88 ,--
278,2025-01-22 13:49:54,超级管理员,--,测量排期-整点启动-判定延长时间 更改 ,88 ,11 ,--
279,2025-01-22 16:02:25,超级管理员,--,耗材管理-更换泵,--,2025-10-22 16:02:25,--
280,2025-01-22 16:02:25,超级管理员,--,耗材管理-更换紫外灯,--,2025-07-22 16:02:25,--
281,2025-01-22 16:02:26,超级管理员,--,耗材管理-更换树脂层,--,2025-04-22 16:02:26,--
282,2025-02-05 17:45:10,超级管理员,--,测量排期-水样测量-整点设置 更改 ,,,--
283,2025-02-05 17:49:34,超级管理员,--,测量参数-药典测试-药典设置 更改 ,USP/EP/,EP/KP/,--
284,2025-02-05 17:50:28,超级管理员,--,测量排期-水样测量-整点设置 更改 ,0/2/4/6/8/10/12/14/16/18/20/22,5/11/17/23,--
